UF,Ano,Taxa_Crescimento_PIB,Taxa_Crescimento_Estabelecimentos
AC,2018,7.41,6.05
AC,2019,1.95,6.51
AC,2020,5.41,9.45
AC,2021,29.73,7.33
AL,2018,2.96,6.84
AL,2019,8.36,7.69
AL,2020,7.19,9.38
AL,2021,20.67,9.57
AP,2018,8.48,5.67
AP,2019,4.18,6.26
AP,2020,5.56,8.83
AP,2021,8.83,8.26
AM,2018,7.37,6.49
AM,2019,8.06,7.8
AM,2020,7.25,11.27
AM,2021,13.37,9.32
BA,2018,6.52,6.83
BA,2019,2.45,7.63
BA,2020,4.12,8.99
BA,2021,15.49,8.51
CE,2018,5.4,7.1
CE,2019,4.92,7.93
CE,2020,2.04,9.04
CE,2021,16.76,8.57
DF,2018,4.13,9.23
DF,2019,7.38,9.61
DF,2020,-2.84,9.22
DF,2021,7.94,9.82
ES,2018,20.83,8.76
ES,2019,0.24,9.14
ES,2020,0.8,10.63
ES,2021,34.59,9.62
GO,2018,1.95,7.91
GO,2019,6.64,8.78
GO,2020,7.41,10.44
GO,2021,20.3,9.55
MA,2018,9.65,5.38
MA,2019,-0.86,6.09
MA,2020,9.84,9.75
MA,2021,16.9,7.15
MT,2018,8.35,7.48
MT,2019,3.4,8.28
MT,2020,25.7,10.24
MT,2021,30.64,9.31
MS,2018,10.97,7.39
MS,2019,-0.02,8.04
MS,2020,14.67,9.5
MS,2021,15.96,8.28
MG,2018,6.68,7.52
MG,2019,6.02,8.13
MG,2020,4.74,9.68
MG,2021,25.6,8.54
PR,2018,4.4,7.5
PR,2019,5.99,8.24
PR,2020,4.62,9.61
PR,2021,12.72,8.75
PB,2018,3.17,7.55
PB,2019,5.61,8.05
PB,2020,3.39,10.16
PB,2021,10.21,9.27
PA,2018,3.94,6.88
PA,2019,10.55,7.99
PA,2020,21.06,11.66
PA,2021,21.75,9.64
PE,2018,2.61,7.38
PE,2019,6.17,8.0
PE,2020,-2.3,9.14
PE,2021,14.23,8.66
PI,2018,11.05,6.1
PI,2019,4.77,6.7
PI,2020,6.84,9.36
PI,2021,13.54,8.01
RJ,2018,12.99,9.1
RJ,2019,2.78,9.41
RJ,2020,-3.35,9.97
RJ,2021,25.93,9.64
RN,2018,4.14,7.4
RN,2019,6.52,8.29
RN,2020,0.34,9.92
RN,2021,12.02,8.72
RS,2018,8.04,6.06
RS,2019,5.5,6.47
RS,2020,-2.39,7.51
RS,2021,23.43,7.2
RO,2018,3.21,6.21
RO,2019,4.85,6.76
RO,2020,9.57,8.97
RO,2021,12.74,7.77
RR,2018,10.45,5.98
RR,2019,6.9,6.48
RR,2020,12.12,9.31
RR,2021,13.59,8.14
SC,2018,7.56,7.89
SC,2019,8.4,8.91
SC,2020,8.05,10.22
SC,2021,22.7,10.09
SE,2018,3.21,7.01
SE,2019,6.36,8.03
SE,2020,1.61,11.15
SE,2021,14.21,10.06
SP,2018,4.23,7.7
SP,2019,6.23,8.73
SP,2020,1.25,8.9
SP,2021,14.39,8.9
TO,2018,4.57,6.93
TO,2019,10.35,7.41
TO,2020,10.91,10.02
TO,2021,18.63,8.04