State,2017,2018,2019,2020,2021
Rondônia,43516144000,44913978000,47091334000,51598745000,58170098000
Acre,14272939000,15331124000,15630018000,16476370000,21374442000
Amazonas,93240190000,100109232000,108181093000,116019141000,131531039000
Roraima,12104706000,13369988000,14292227000,16024274000,18202580000
Pará,155232405000,161349601000,178376983000,215935606000,262904976000
Amapá,15481909000,16795207000,17496662000,18469113000,20099850000
Tocantins,34108132000,35666181000,39355940000,43649801000,51780763000
Maranhão,89542756000,98179501000,97339951000,106915959000,124980727000
Piauí,45365544000,50378414000,52780780000,56391254000,64028312000
Ceará,147921537000,155903825000,163575327000,166914539000,194884807000
Rio Grande Do Norte,64305992000,66969551000,71336785000,71577102000,80180735000
Paraíba,62396770000,64373599000,67986076000,70292033000,77470329000
Pernambuco,181609501000,186351982000,197853376000,193307315000,220813521000
Alagoas,52851065000,54413051000,58963730000,63202345000,76265620000
Sergipe,40711485000,42017982000,44689487000,45409655000,51861396000
Bahia,268724092000,286239537000,293240507000,305320810000,352617846000
Minas Gerais,576375558000,614875822000,651872700000,682786125000,857593211000
Espírito Santo,113399936000,137020055000,137345595000,138445921000,186336503000
Rio De Janeiro,671605668000,758859047000,779927918000,753823712000,949300764000
São Paulo,2120761648000,2210561953000,2348337978000,2377638980000,2719751234000
Paraná,421497864000,440029414000,466377044000,487930595000,549973060000
Santa Catarina,277270232000,298227085000,323263861000,349275021000,428570883000
Rio Grande Do Sul,423270044000,457293960000,482464181000,470941851000,581283683000
Mato Grosso Do Sul,96396428000,106969143000,106943246000,122627728000,142203764000
Mato Grosso,126845895000,137442863000,142122023000,178649564000,233390206000
Goiás,191948306000,195681726000,208672492000,224126115000,269627879000
Distrito Federal,244722249000,254817205000,273613711000,265847334000,286943782000